Text,giá
"giao hàng , đóng_gói cẩn_thận , phẩm như hình . kì hài_lòng",1
giá ưu_đãi tốt giao hàng check mã_vạch không,-1
"hàng chuẩn , giá tốt quà bát ăn , ưng ! chuẩn",1
hàng hãng kì hài_lòng,1
"hàng đúng mô_tả , giao hàng , đóng_gói tốt . chất_lượng tốt . ủng_hộ shop tiki .",1
giá chương_trình momo 50k đơn 99k 399k . tạm coi rẻ mua_lẻ . uống lâu_dài mua số_lượng rẻ y hình,1
"tikinow hàng . sữa hãng , hạn , hộp gói cẩn_thận , không móp méo .",1
"hàng chuẩn , giá rẻ . kì hài_lòng",1
mua 12 / 2 18 / 2 giao . đóng_gói không kỹ lắm . test mã_vạch hình . chưa không chất_lượng,-1
"sản_phẩm y hình , shop giao hàng , chưa không chất_lượng kì hài_lòng",1
hàng chuẩn giá rẻ kì hài_lòng,1
"sản_phẩm đúng hãng , chất_lượng tốt . mua đợt khuyến_mãi rẽ thị_trường . kì hài_lòng",1
"hàng chuẩn , tiki giao đóng_gói kỹ_càng . quà tặng kèm vali nhựa , bé đi picnic đi học ! kì hài_lòng",1
"ok , hãng kì hài_lòng",1
hàng chuẩn hãng dịch_vụ tikinow giao . hài_lòng sản_phẩm dịch_vụ . kì hài_lòng,1
hãng . mua kì hài_lòng,1
"sản_phẩm không như mô_tả . loại đệm lưng thấm mồ_hôi loại khô thoáng bình_thường . tặng 9 miếng không gói tã tặng kèm , không . không hài_lòng",1
"tiki giao hàng , dự_kiến giao 2 chủ nhật hàng . hàng chuẩn chất_lượng giá rẻ . kì hài_lòng",1
"mua 1 bịch tã , hàng tiki tin_tưởng . mong tiki cung_cấp hàng chất_lượng giá cạnh_tranh uy_tín al mặt_hàng , lựa cung_cấp uy_tín đăng tiki . book hàng thù viết nghiên_cứu comment mua hàng . rút ngắn khâu lựa_chọn khách_hàng . .",1
"mua bé , sale . giá tốt siêu_thị đỡ lo hàng giả . kì hài_lòng",1
"sữa hãng , shop uy_tín , sữa thơm ngon bé , hạn kì hài_lòng",1
"giao hàng , hàng chuẩn kì hài_lòng",1
hài_lòng sản_phẩm . sp đúng như ảnh . kì hài_lòng,1
ok . giao . mua thường_xuyên yên_tâm giá rẻ hàng chuẩn . kì hài_lòng,1
hàng mua chưa chưa chất_lượng hãng yên_tâm kì hài_lòng,1
"hàng_y hình , , ủng_hộ . shop tiki ❤ ️ kì hài_lòng",1
"chất_liệu dày , hình , hài_lòng",1
